stock, freq, start_date, end_date, iemaksas, portfelis, protfela_vertiba, pelna, pelna_procentos,
AAPL,1,2019-02-14,2023-10-20,2824.0,41.28593645656976,7244.030687858024,4420.030687858024,63.890959122922496
TSLA,1,2019-02-14,2023-04-12,8120.0,207.56290000230325,38770.67269788048,30650.67269788048,26.492077612905067
BIDU,2,2019-02-15,2023-01-20,11700.0,66.30165822868169,8498.54606614457,-3201.4539338554296,-365.45895214272184
AAPL,2,2004-01-01,2020-10-01,1800.0,519.9742364560365,60218.215054505235,58418.215054505235,3.0812307399679497
TSLA,2,2020-01-02,2023-03-20,1080.0,35.64018117599198,6419.866009255757,5339.866009255757,20.225226590480027
AAPL,1,2014-05-20,2024-01-10,17850.0,366.08055170380464,67776.15311900455,49926.15311900455,35.75280466222289
AAPL,2,2004-01-01,2024-01-01,7000.0,3385.186859396682,651750.021907335,644750.021907335,9210.714598676215
TSLA,2,2010-01-01,2024-01-01,4500.0,1278.387886956802,317653.81668916385,313153.81668916385,6958.973704203642
BIDU,2,2010-01-01,2024-01-01,1560.0,27.550821286575918,3281.027206124205,1721.027206124205,110.32225680283365
AAPL,2,2004-01-01,2024-01-01,3000.0,2860.8028185360304,550790.363160551,547790.363160551,18259.678772018364
